URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://fhir.kemkes.go.id/r4/ValueSet/ActPriorityVS,0.1.0,active,,ActPriorityVS,v3 Code System ActPriority,"A set of codes (e.g., for routine, emergency), specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.","StructureDefinition/IDCoreEncounter","THO (V3)"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterClassVS,0.1.0,active,,EncounterClassVS,V3 Value SetActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","StructureDefinition/IDCoreEncounter","THO (V3),Internal"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterDiagnosisUseVS,0.1.0,active,,EncounterDiagnosisUseVS,DiagnosisRole,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","StructureDefinition/IDCoreEncounter","THO"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterHospitalizationAdmitSourceVS,0.1.0,active,,EncounterHospitalizationAdmitSourceVS,Admit Source,"This value set defines a set of codes that can be used to indicate from where the patient came in.","StructureDefinition/IDCoreEncounter","THO,hl7.terminology.r4"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterHospitalizationDischargeDispositionVS,0.1.0,active,,EncounterHospitalizationDischargeDispositionVS,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.",,"THO"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterHospitalizationSpecialArrangementsVS,0.1.0,active,,EncounterHospitalizationSpecialArrangementsVS,Special arrangements,"This value set defines a set of codes that can be used to indicate the kinds of special arrangements in place for a patients visit.",,"THO"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterHospitalizationreAdmitSourceVS,0.1.0,active,,EncounterHospitalizationreAdmitSourceVS,v2 RE-ADMISSION INDICATOR,"FHIR Value set/code system definition for HL7 v2 table 0092 ( RE-ADMISSION INDICATOR)","StructureDefinition/IDCoreEncounter","THO (V2)"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterHospitalizationreDietVS,0.1.0,active,,EncounterHospitalizationreDietVS,Diet,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.",,"THO"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterHospitalizationreSpecialCourtesyVS,0.1.0,active,,EncounterHospitalizationreSpecialCourtesyVS,Special courtesy,"This value set defines a set of codes that can be used to indicate special courtesies provided to the patient.",,"THO (V3)"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterLocationServiceClassInpatientVS,0.1.0,active,,EncounterLocationServiceClassInpatientVS,Encounter Location ServiceClass-Inpatient,"A set of codes, specifying location ServiceClass for inpatient patient.",,"Other"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterLocationServiceClassOutpatientVS,0.1.0,active,,EncounterLocationServiceClassOutpatientVS,Encounter Location ServiceClass-Outpatient,"A set of codes, specifying location ServiceClass for outpatient patient.","StructureDefinition/IDCoreEncounterEMER","Other"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterLocationStatusVS,0.1.0,active,,EncounterLocationStatusVS,Encounter Location Status,"The status of the location.",,"hl7.fhir.r4.core"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterLocationTypeVS,0.1.0,active,,EncounterLocationTypeVS,Encounter Location Type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.",,"THO"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterLocationUpgradeClassVS,0.1.0,active,,EncounterLocationUpgradeClassVS,Encounter Location Upgrade Class,"A set of codes, specifying location UpgradeClass.","StructureDefinition/IDCoreEncounterIMP","Other"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterReasonCodesVS,0.1.0,active,,EncounterReasonCodesVS,Reason Code,"This examples value set defines the set of codes that can be used to indicate reasons for an encounter.","StructureDefinition/IDCoreEncounter","hl7.terminology.r4"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterServiceTypeVS,0.1.0,active,,EncounterServiceTypeVS,Service type,"This value set defines an example set of codes of service-types.","StructureDefinition/IDCoreEncounter","THO"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterStatusVS,0.1.0,active,,EncounterStatusVS,EncounterStatus,"Current state of the encounter.","StructureDefinition/IDCoreEncounter","hl7.fhir.r4.core"
https://fhir.kemkes.go.id/r4/ValueSet/EncounterTypeVS,0.1.0,active,,EncounterTypeVS,Encounter type,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","StructureDefinition/IDCoreEncounter","THO"
https://fhir.kemkes.go.id/r4/ValueSet/ParticipationTypeVS,0.1.0,active,,ParticipationTypeVS,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter","StructureDefinition/IDCoreEncounter","THO (V3),THO"
